column,missing_count,total_count,missing_rate
actual_time_to_shortage_minutes,841979,841984,0.99999406
activity_segment,0,841984,0.0
affected_service,0,841984,0.0
agent_id,0,841984,0.0
amount_std,0,841984,0.0
anomaly_family,0,841984,0.0
anomaly_type,0,841984,0.0
approved_bkash_support_amount,0,841984,0.0
approved_cash_support_amount,0,841984,0.0
approved_nagad_support_amount,0,841984,0.0
approved_rocket_support_amount,0,841984,0.0
area_id,0,841984,0.0
average_amount,0,841984,0.0
bkash_cash_in_amount,0,841984,0.0
bkash_cash_out_amount,0,841984,0.0
bkash_derived_e_money_balance,0,841984,0.0
bkash_e_money_burn_60m,0,841984,0.0
bkash_feed_age_seconds,0,841984,0.0
bkash_reported_e_money_balance,0,841984,0.0
bkash_tx_count,0,841984,0.0
cash_in_amount,0,841984,0.0
cash_in_count,0,841984,0.0
cash_out_amount,0,841984,0.0
cash_out_count,0,841984,0.0
combined_edge_case,0,841984,0.0
data_quality_issue_flag,0,841984,0.0
data_quality_score,0,841984,0.0
day_of_week,0,841984,0.0
district,0,841984,0.0
division,0,841984,0.0
duplicate_source_ratio,0,841984,0.0
evidence_codes,0,841984,0.0
failed_tx_count,0,841984,0.0
failure_rate,0,841984,0.0
feed_age_max_seconds,0,841984,0.0
festival_code,0,841984,0.0
future_bkash_balance_120m,0,841984,0.0
future_bkash_balance_15m,0,841984,0.0
future_bkash_balance_30m,0,841984,0.0
future_bkash_balance_60m,0,841984,0.0
future_nagad_balance_120m,0,841984,0.0
future_nagad_balance_15m,0,841984,0.0
future_nagad_balance_30m,0,841984,0.0
future_nagad_balance_60m,0,841984,0.0
future_rocket_balance_120m,0,841984,0.0
future_rocket_balance_15m,0,841984,0.0
future_rocket_balance_30m,0,841984,0.0
future_rocket_balance_60m,0,841984,0.0
future_shared_cash_120m,0,841984,0.0
future_shared_cash_15m,0,841984,0.0
future_shared_cash_30m,0,841984,0.0
future_shared_cash_60m,0,841984,0.0
government_payment_window,0,841984,0.0
ground_truth_confidence,0,841984,0.0
hard_negative_flag,0,841984,0.0
history_available_days,0,841984,0.0
hour_of_day,0,841984,0.0
is_open,0,841984,0.0
is_unusual,0,841984,0.0
label_confidence,0,841984,0.0
liquidity_pressure_flag,0,841984,0.0
location_type,0,841984,0.0
market_day_flag,0,841984,0.0
missing_record_ratio,0,841984,0.0
month,0,841984,0.0
nagad_cash_in_amount,0,841984,0.0
nagad_cash_out_amount,0,841984,0.0
nagad_derived_e_money_balance,0,841984,0.0
nagad_e_money_burn_60m,0,841984,0.0
nagad_feed_age_seconds,0,841984,0.0
nagad_reported_e_money_balance,0,841984,0.0
nagad_tx_count,0,841984,0.0
near_identical_amount_count,0,841984,0.0
other_transaction_count,0,841984,0.0
out_of_order_ratio,0,841984,0.0
outlet_type,0,841984,0.0
peer_group_id,0,841984,0.0
reconciliation_difference_total,0,841984,0.0
remittance_window,0,841984,0.0
repeated_amount_ratio,0,841984,0.0
reversal_rate,0,841984,0.0
review_priority,0,841984,0.0
rocket_cash_in_amount,0,841984,0.0
rocket_cash_out_amount,0,841984,0.0
rocket_derived_e_money_balance,0,841984,0.0
rocket_e_money_burn_60m,0,841984,0.0
rocket_feed_age_seconds,0,841984,0.0
rocket_reported_e_money_balance,0,841984,0.0
rocket_tx_count,0,841984,0.0
salary_window,0,841984,0.0
severity,0,841984,0.0
shared_cash_balance,0,841984,0.0
shared_cash_burn_15m,0,841984,0.0
shared_cash_burn_30m,0,841984,0.0
shared_cash_burn_60m,0,841984,0.0
shortage_within_120m,0,841984,0.0
shortage_within_30m,0,841984,0.0
shortage_within_60m,0,841984,0.0
split,0,841984,0.0
successful_tx_count,0,841984,0.0
total_tx_count,0,841984,0.0
transaction_velocity_vs_expected,0,841984,0.0
unique_customer_ratio,0,841984,0.0
university_admission_window,0,841984,0.0
weather_disruption_flag,0,841984,0.0
weekend_flag,0,841984,0.0
window_end,0,841984,0.0
window_id,0,841984,0.0
