anomaly_type,rows,positive_support,negative_support,prevalence,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,f2,accuracy,balanced_accuracy,false_positive_rate,false_negative_rate,specificity,brier_score,expected_calibration_error_10_bin,pr_auc,roc_auc
cached_balance_as_current,293,293,0,1.0,1.0,0,0,0,293,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06656375561457754,0.2575976078498293,,
circular_activity,192,192,0,1.0,1.0,0,0,0,192,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06338265903024065,0.2475353922916667,,
circular_activity+cached_balance_as_current+government_payment_day,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05168279870199599,0.22711888000000013,,
circular_activity+cached_balance_as_current+large_expected_merchant_activity,25,25,0,1.0,1.0,0,0,0,25,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04888791606278406,0.22063441200000006,,
circular_activity+cached_balance_as_current+salary_day_surge,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.053360534711718956,0.23017138000000004,,
circular_activity+conflicting_reported_balance+eid_demand_surge,34,34,0,1.0,1.0,0,0,0,34,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.047606600529232414,0.21788258999999993,,
circular_activity+conflicting_reported_balance+legitimate_network_recovery_burst,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.047373899393440284,0.21697019142857146,,
circular_activity+delayed_ingestion+remittance_payment_day,26,26,0,1.0,1.0,0,0,0,26,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.08800802980609955,0.28556260730769234,,
circular_activity+duplicate_source_events+eid_demand_surge,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.057443601649088696,0.23900352749999998,,
circular_activity+duplicate_source_events+large_expected_merchant_activity,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.053610614436803095,0.23132219500000006,,
circular_activity+duplicate_source_events+local_market_event,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06395719263861907,0.2523281142857142,,
circular_activity+duplicate_source_events+remittance_payment_day,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05889545137057141,0.24220702500000002,,
circular_activity+duplicate_source_events+salary_day_surge,26,26,0,1.0,1.0,0,0,0,26,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05935031743203249,0.24295839230769234,,
circular_activity+duplicate_source_events+weather_recovery_catchup,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.052082672062451034,0.22785290400000002,,
circular_activity+incorrect_event_timestamp+eid_demand_surge,16,16,0,1.0,0.9375,0,0,1,15,1.0,0.9375,0.967741935483871,0.9493670886075949,0.9375,0.9375,,0.0625,,0.15781615430946774,0.35873590937500005,,
circular_activity+incorrect_event_timestamp+large_expected_merchant_activity,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07148539128957523,0.25612555846153845,,
circular_activity+incorrect_event_timestamp+salary_day_surge,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07049353701578114,0.2650879284615384,,
circular_activity+missing_interval+government_payment_day,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.049223808013713885,0.22167921176470595,,
circular_activity+missing_interval+salary_day_surge,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04622182445717663,0.21433403624999997,,
circular_activity+missing_interval+university_admission_period,24,24,0,1.0,1.0,0,0,0,24,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0505141793465751,0.22402037000000005,,
circular_activity+missing_interval+weather_recovery_catchup,45,45,0,1.0,1.0,0,0,0,45,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.049553290496042735,0.22222379733333336,,
circular_activity+partial_provider_outage+legitimate_round_amounts,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.033189268412205,0.18144401999999987,,
circular_activity+replayed_transaction_batch+large_expected_merchant_activity,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05526537840072565,0.23494828285714298,,
circular_activity+replayed_transaction_batch+local_market_event,11,11,0,1.0,1.0,0,0,0,11,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05853406574110418,0.24134874000000006,,
circular_activity+schema_error_simulation+government_payment_day,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.11830182465552526,0.3041021333333334,,
circular_activity+schema_error_simulation+local_market_event,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.10562802601785741,0.3105890114285714,,
circular_activity+schema_error_simulation+university_admission_period,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.061321623471811804,0.24599436499999996,,
circular_activity+stale_provider_feed+legitimate_network_recovery_burst,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04944742812206461,0.2218734675000001,,
circular_activity+stale_provider_feed+university_admission_period,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04437629751686295,0.2100151517647059,,
conflicting_reported_balance,241,241,0,1.0,1.0,0,0,0,241,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06810258340733896,0.2599621345643153,,
continued_deterioration_no_response,241,241,0,1.0,0.8464730290456431,0,0,37,204,1.0,0.8464730290456431,0.9168539325842696,0.8732876712328768,0.8464730290456431,0.8464730290456431,,0.15352697095435686,,0.22253552124030554,0.4161081486307054,,
continued_deterioration_no_response+cached_balance_as_current+government_payment_day,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06864607394630806,0.2617654984615384,,
continued_deterioration_no_response+cached_balance_as_current+legitimate_round_amounts,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0668374989621159,0.2580815630769232,,
continued_deterioration_no_response+cached_balance_as_current+weather_recovery_catchup,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06838467841099703,0.26127643600000006,,
continued_deterioration_no_response+conflicting_reported_balance+legitimate_round_amounts,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06477274279842539,0.25389067,,
continued_deterioration_no_response+conflicting_reported_balance+university_admission_period,30,30,0,1.0,1.0,0,0,0,30,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06645376628312724,0.25723749799999995,,
continued_deterioration_no_response+delayed_ingestion+legitimate_round_amounts,29,29,0,1.0,0.8620689655172413,0,0,4,25,1.0,0.8620689655172413,0.9259259259259259,0.8865248226950354,0.8620689655172413,0.8620689655172413,,0.13793103448275862,,0.20784129939884696,0.40911675931034486,,
continued_deterioration_no_response+delayed_ingestion+salary_day_surge,12,12,0,1.0,0.8333333333333334,0,0,2,10,1.0,0.8333333333333334,0.9090909090909091,0.8620689655172413,0.8333333333333334,0.8333333333333334,,0.16666666666666666,,0.33032305687344105,0.5364876058333333,,
